YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,6,18,97.82,3.06,5.45,0.59,4.86,141.75,4.35,6.41,0.47,5.95,143.62
2021,6,19,97.55,4.57,6.59,2.38,4.21,191.75,6.4,8.19,4.37,3.82,192.62
2021,6,20,97.24,3.66,7.5,0.25,7.24,57.81,4.9,9.02,0.59,8.41,57.0
2021,6,21,97.82,3.03,4.13,1.35,2.78,98.31,4.3,6.3,1.23,5.08,97.0
2021,6,22,98.13,2.6,3.88,1.48,2.4,159.56,3.59,5.23,2.05,3.18,159.44
2021,6,23,98.35,2.76,3.98,1.59,2.38,83.25,3.86,4.74,2.57,2.18,83.38
2021,6,24,98.49,3.54,5.68,2.11,3.57,146.69,5.02,6.79,3.1,3.69,148.06
2021,6,25,98.63,2.63,4.03,1.63,2.4,165.75,3.81,4.95,2.6,2.34,166.19
2021,6,26,98.65,2.12,3.73,1.03,2.7,134.06,2.77,4.74,1.44,3.3,132.81
2021,6,27,98.33,1.81,2.95,0.17,2.77,84.19,2.4,3.55,0.21,3.34,83.25
2021,6,28,97.95,2.42,3.72,1.66,2.05,104.62,3.45,4.66,2.23,2.43,103.38
2021,6,29,97.65,4.87,8.02,1.89,6.13,55.69,6.3,9.55,2.14,7.41,56.0
2021,6,30,98.55,2.89,5.43,1.49,3.94,90.25,3.85,7.19,2.07,5.12,90.31
2021,7,1,98.62,2.86,5.64,0.89,4.76,76.56,3.84,6.8,1.44,5.36,77.56
2021,7,2,98.39,4.66,7.38,0.87,6.52,191.25,6.18,10.19,1.61,8.57,192.31
2021,7,3,98.27,3.57,7.55,0.7,6.85,129.25,4.7,10.46,0.61,9.86,130.06
2021,7,4,98.73,1.96,2.77,1.09,1.69,97.25,2.53,3.3,2.05,1.24,98.06
2021,7,5,98.28,1.55,3.04,0.49,2.55,207.81,2.2,3.85,0.45,3.41,211.44
2021,7,6,98.25,2.23,3.15,0.54,2.61,209.25,3.21,5.65,0.74,4.91,241.69
2021,7,7,98.01,2.93,3.95,0.77,3.18,166.75,4.14,6.07,0.58,5.5,168.75
2021,7,8,98.07,3.29,4.55,1.33,3.23,73.88,4.29,6.32,2.34,3.98,74.56
2021,7,9,98.05,2.2,4.06,1.16,2.91,112.38,3.17,5.9,0.77,5.13,113.5
2021,7,10,98.14,2.29,3.93,0.5,3.42,242.56,3.48,5.31,0.68,4.63,245.75
2021,7,11,98.42,1.52,2.58,0.49,2.09,161.38,2.18,4.62,0.7,3.91,163.56
2021,7,12,98.47,1.7,2.62,0.53,2.09,187.56,2.38,4.09,0.74,3.35,189.56
2021,7,13,98.53,1.73,2.72,0.66,2.06,201.06,2.64,3.62,0.84,2.78,213.62
2021,7,14,98.94,2.34,3.16,1.66,1.5,86.94,3.4,4.44,2.59,1.84,86.81
2021,7,15,99.22,2.33,4.11,1.54,2.57,141.56,3.21,5.02,1.98,3.04,142.69
2021,7,16,99.32,1.96,3.27,0.3,2.97,187.38,2.65,4.22,0.51,3.71,188.88
2021,7,17,99.12,2.2,3.84,0.09,3.74,183.44,3.03,5.74,0.09,5.65,185.56
2021,7,18,98.9,3.75,5.77,2.29,3.48,210.0,5.15,7.02,3.66,3.36,212.0
2021,7,19,98.85,2.43,3.16,1.63,1.52,171.88,3.55,5.46,2.02,3.45,184.69
